arp.dst.proto_ipv4,arp.opcode,arp.hw.size,arp.src.proto_ipv4,icmp.checksum,icmp.seq_le,icmp.transmit_timestamp,http.file_data,http.content_length,http.request.method,http.referer,http.request.version,http.response,tcp.ack,tcp.ack_raw,tcp.checksum,tcp.connection.fin,tcp.connection.rst,tcp.connection.syn,tcp.connection.synack,tcp.dstport,tcp.flags,tcp.flags.ack,tcp.len,tcp.seq,udp.port,udp.stream,udp.time_delta,dns.qry.name,dns.qry.name.len,dns.qry.qu,dns.retransmission,dns.retransmit_request,mqtt.conack.flags,mqtt.conflag.cleansess,mqtt.hdrflags,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.protoname,mqtt.topic,mqtt.topic_len,label_multiclass,label_binary
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,0.0,-0.14478295061395813,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,1.5635258544593913,-0.14478295061395813,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,4.09359450935997,-0.14478295061395813,2.772588722239781,0.0,5.545177444479562,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,-0.14478295061395813,3.091042453358316,0.0,5.545177444479562,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,-0.1416707886147415,3.091042453358316,0.0,5.545177444479562,0.6931471805599453,3,3.6375861597263857,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,4.024126030060885,-0.14478295061395813,2.772588722239781,0.0,5.545177444479562,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,-0.14122449877957827,3.091042453358316,0.0,5.545177444479562,0.6931471805599453,3,3.6635616461296463,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,0.30568850362120564,3.1354942159291497,0.0,2.5649493574615367,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,0.30563829609156634,3.1354942159291497,0.0,2.5649493574615367,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,-0.14467812034643665,3.1354942159291497,0.0,2.5649493574615367,0.6931471805599453,3,4.2626798770413155,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,-0.144701086621469,3.1354942159291497,0.0,2.5649493574615367,0.6931471805599453,3,4.276666119016055,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,-7.39557772240683e-05,3.1354942159291497,0.0,2.5649493574615367,0.6931471805599453,3,4.2626798770413155,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,-5.77626548577718e-05,3.1354942159291497,0.0,2.5649493574615367,0.6931471805599453,3,4.276666119016055,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,-0.14470860340540742,3.1354942159291497,0.0,2.5649493574615367,0.6931471805599453,3,4.2626798770413155,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
1,0.0,0.0,1,0.0,0.0,0.0,2,0.0,1,2,2,0.0,-0.11227262637457826,-0.489013248180181,-0.5725850877823285,0.0,0.0,0.0,0.0,-0.041462984982604485,-0.8888888888888888,-1.0,3.17039884289658,-0.14471528521822705,3.1354942159291497,0.0,2.5649493574615367,0.6931471805599453,3,4.276666119016055,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0,MITM,1
