flgs,proto,pkts,bytes,state,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,label_multiclass,label_binary
0,6,-0.19009117769282388,-0.597652783571728,4,0.2761885666740427,-0.18781243748094845,1.0144499448654483,-0.01032074145436994,0.0,0.15715358015534617,0.0,0.0,-0.5662936283753135,0.0,-0.31212229709628214,-0.27710955050219477,0.0,DoS,1
0,6,0.30990882230717626,0.0,4,0.531948981166596,0.11496815748900133,0.9517273537761303,0.2966139777356126,0.0,0.15411926689743632,0.5000000000000001,0.0,0.05015726709112405,0.0,-0.09145059632401514,-0.02920912062834554,0.0,DoS,1
0,6,0.5573662378150711,0.283971881174006,4,-0.3642411321689579,0.5146375835664748,0.8004357975740798,0.28391401449681214,1.1448059301493652,0.2787046257063721,0.7474574155078949,0.0,0.34306098183805855,0.0,1.657998188281323,1.9361045295959447,0.0,DDoS,1
9,5,-0.19009117769282388,0.6015594276070859,6,-0.2343885636330101,0.09315109904153758,0.716372615723905,0.09497576948719577,0.0,-0.15674484489901075,0.0,0.0,0.670637683175658,0.0,0.16632920913796803,0.26037819103501736,0.0,DDoS,1
0,6,0.8547556456757275,0.6179897265142288,4,0.39756449486204914,0.5381914488768501,0.19685263824695584,0.4904647872369035,2.2665545564006178,0.05321670635157648,1.0448468233685515,0.0,0.6875847680926881,0.0,0.6950884069018421,0.8543811010895789,0.0,DoS,1
9,5,-0.6900911776928237,-0.048627766645839815,6,0.10461710286697022,-0.13003804944976927,0.6450877460526007,-0.18432466436629252,0.0,-0.25614841235102564,-0.4999999999999999,0.0,0.0,0.0,-0.5894606742265934,-0.5886687702413502,0.0,DoS,1
0,6,-1.044846823368551,-1.2746134186016944,4,-1.227520621507041,-0.5381826133768208,-0.11355430166811346,-0.7176180923240948,0.0,-0.8326677084884105,-0.8547556456757273,0.0,-1.2645468635828538,0.0,-0.06916599015434133,-0.004174812061826126,0.0,Normal,0
9,5,0.0,0.5440575067279088,7,0.6696108360952452,-0.14677217095177897,0.9153391361471507,-0.06959537955753499,0.0,-0.0033454334421214676,0.0,0.6931471805599453,0.49965536780466707,4.110873864173311,-0.433761329569618,-0.5432688790701574,0.0,DDoS,1
0,6,0.30990882230717626,0.0,4,0.31971123674997043,0.042678620677468304,0.8077692794969853,0.252193481079287,0.0,0.036812694060100515,0.5000000000000001,0.0,0.05015726709112405,0.0,0.12396299697076638,0.21278440274399105,0.0,DDoS,1
9,5,-0.19009117769282388,0.6015594276070859,6,0.8824625459361589,-0.5381826133768208,-0.11355430166811346,-0.7176180923240948,0.0,-0.8326677084884105,0.0,0.0,0.670637683175658,0.0,-0.6436549237238344,-0.6495500599583373,0.0,DoS,1
