sample_id,dataset,split,true_label_multiclass,true_label_family,y_known,pred_class,pred_correct,max_fidelity,runner_up_fidelity,margin,fid_true_class,nonconformity,nonconformity_true,trace_distance_nearest,fid__Backdoor_Malware,fid__BenignTraffic,fid__BrowserHijacking,fid__CommandInjection,fid__DDoS-ACK_Fragmentation,fid__DDoS-HTTP_Flood,fid__DDoS-ICMP_Flood,fid__DDoS-ICMP_Fragmentation,fid__DDoS-PSHACK_Flood,fid__DDoS-RSTFINFlood,fid__DDoS-SYN_Flood,fid__DDoS-SlowLoris,fid__DDoS-SynonymousIP_Flood,fid__DDoS-TCP_Flood,fid__DDoS-UDP_Flood,fid__DDoS-UDP_Fragmentation,fid__DNS_Spoofing,fid__DictionaryBruteForce,fid__DoS-HTTP_Flood,fid__DoS-SYN_Flood,fid__DoS-TCP_Flood,fid__DoS-UDP_Flood,fid__MITM-ArpSpoofing,fid__Recon-HostDiscovery,fid__Recon-OSScan,fid__Recon-PingSweep,fid__Recon-PortScan,fid__SqlInjection,fid__Uploading_Attack,fid__VulnerabilityScan,fid__XSS
0,CICIoT2023,calibration,DDoS-ICMP_Flood,ddos,1,DDoS-ICMP_Flood,1,0.8425690758951102,0.6972700176138603,0.1452990582812499,0.8425690758951102,0.1574309241048898,0.1574309241048898,0.13128865842074788,0.2189521998251641,0.24370469595998984,0.5584596936305518,0.6972700176138603,0.4698367120037309,0.2516067449314958,0.8425690758951102,0.3380497651852859,0.45413799255208526,0.31670326294392637,0.34381848283972893,0.21684244527468471,0.058885919782982896,0.2998618717973489,0.33340598779908653,0.4692733896027242,0.30262120481337534,0.31628175792520047,0.28405288829186354,0.43467031248612703,0.2182492820124388,0.117155206141318,0.3571594118244529,0.4087476545246324,0.35744095222893274,0.24160643540569124,0.1466713584087952,0.5867506589419931,0.6611069204577525,0.33882447209916283,0.08546230251469658
1,CICIoT2023,calibration,DDoS-RSTFINFlood,ddos,1,DDoS-RSTFINFlood,1,0.8057210542367093,0.6116696953846891,0.19405135885202018,0.8057210542367093,0.19427894576329074,0.19427894576329074,0.16650288742616817,0.3728314556140889,0.14764322721525455,0.4992645809910461,0.4014614009780247,0.3545129211943923,0.17828585010553688,0.2338354885844604,0.3194282100915264,0.6036429605810186,0.8057210542367093,0.24896253441280453,0.4343450764995609,0.4409916552858904,0.45918736664401955,0.44948178861121346,0.11721954077118195,0.4412960266106075,0.16689622126780615,0.08427024708936548,0.34791759375240505,0.5828115439869808,0.1200309746648113,0.48125432131940477,0.5390153383594065,0.2747049869477162,0.2375041075704068,0.27858348491239765,0.4004745242643415,0.48655079689138425,0.3193540900283776,0.6116696953846891
2,CICIoT2023,calibration,DDoS-SYN_Flood,ddos,1,DDoS-SYN_Flood,1,0.8147202871212269,0.7645102705401997,0.050210016581027195,0.8147202871212269,0.1852797128787731,0.1852797128787731,0.18033571549313634,0.3327743668867538,0.4413469173599394,0.5761968847503679,0.4391410756315571,0.2801463166768493,0.5517686134250024,0.2930537591908566,0.42625869489805374,0.7022673508521005,0.46239366136688304,0.8147202871212269,0.26604799997262624,0.45084911203908706,0.4576208566831942,0.5302624654487256,0.2931704566070207,0.514652226789025,0.16127569644423795,0.28864204937518184,0.1700852150271681,0.3387124654020901,0.7645102705401997,0.3736909900996779,0.44982492844213,0.6203332438862537,0.4962985811970402,0.22730560884785536,0.3874797550145376,0.4713245046647613,0.445300828227899,0.37498541152308473
3,CICIoT2023,calibration,DDoS-SYN_Flood,ddos,1,DDoS-RSTFINFlood,0,0.8617384019608504,0.7030815273048543,0.1586568746559961,0.4683376124280536,0.1382615980391496,0.5316623875719464,0.1375180822737145,0.27132973880295325,0.3995652213220356,0.6477649545016793,0.5201405147412139,0.57897300433805,0.6581284000837806,0.20774537720737757,0.44229455884043306,0.38817959371934074,0.8617384019608504,0.4683376124280536,0.6265550531407379,0.1130880314177087,0.18524329136795428,0.569322695449364,0.16453384789869527,0.18428614963934228,0.2294137230389334,0.32364761653750945,0.3307175375475095,0.32078849603245085,0.3460902847026481,0.4349973281875476,0.2647831062261531,0.7030815273048543,0.2711308618635744,0.7016960311668811,0.44068931151863655,0.4417875069245954,0.4121648872517075,0.64698058054974
4,CICIoT2023,calibration,DDoS-UDP_Flood,ddos,1,DDoS-UDP_Flood,1,0.8320309722831855,0.7383316474248308,0.09369932485835464,0.8320309722831855,0.16796902771681455,0.16796902771681455,0.1553961651014975,0.5707130002036348,0.6357785618499601,0.7383316474248308,0.2963636453966896,0.251044998253305,0.3553682371598191,0.4337171622153514,0.4257156411989502,0.2632363282967171,0.5424375165035966,0.6817622054084154,0.3125284005752607,0.5412128529494571,0.17141894455173387,0.8320309722831855,0.41148816389295745,0.48615664832200384,0.1495837918034483,0.1259639058222188,0.370155991864148,0.271438956795817,0.1881035192003765,0.46741279743541875,0.28705514405306415,0.6803538808603012,0.545517294640333,0.496723698014379,0.517410928895369,0.41537941760461894,0.551101207778693,0.2705598234904886
5,CICIoT2023,calibration,DDoS-UDP_Flood,ddos,1,DDoS-UDP_Flood,1,0.7654921703367806,0.5647373623340938,0.20075480800268686,0.7654921703367806,0.23450782966321937,0.23450782966321937,0.1673914422056696,0.5647373623340938,0.39051326648817924,0.2895813410858083,0.1925024462892757,0.41876962599845163,0.4567488295853673,0.4048594766827257,0.481456497205162,0.2127644170832001,0.5395722807038994,0.18676439619546523,0.49735666301763354,0.5119722741108083,0.3286117466697519,0.7654921703367806,0.24801781257857713,0.41981452523790963,0.2141496865464387,0.38143972007498134,0.2844451561383871,0.3594118301799862,0.5339211338440817,0.4899077808561123,0.25351986612505656,0.2375435383610731,0.2674832481017801,0.44512890296112007,0.5025212911038058,0.3809175888157435,0.2790048898996301,0.47776127472658825
6,CICIoT2023,calibration,DDoS-PSHACK_Flood,ddos,1,DDoS-PSHACK_Flood,1,0.8346611673305598,0.792219356645331,0.04244181068522879,0.8346611673305598,0.16533883266944016,0.16533883266944016,0.12490701856543955,0.16181669684353214,0.792219356645331,0.40115969076448954,0.4250728370858345,0.7301220124583073,0.32476941120030073,0.14062636718230953,0.3872510721292724,0.8346611673305598,0.3619634408388809,0.26120304897315516,0.23149918708744313,0.40313991434403607,0.23207766616196235,0.6315790705418608,0.30393382191345425,0.45007212635064275,0.2635932737992218,0.2881596957826963,0.5053405325297432,0.49356765315024936,0.4320256434283961,0.31053392911096167,0.3348663641266954,0.3020995050238812,0.3566583641986013,0.35992209499287564,0.3382731172557399,0.4950875738431576,0.22493484186087942,0.1365585900025414
7,CICIoT2023,calibration,DoS-SYN_Flood,dos,1,DoS-SYN_Flood,1,0.9469158977375175,0.7733531820668164,0.17356271567070114,0.9469158977375175,0.0530841022624825,0.0530841022624825,0.04764484534570344,0.5272540721510206,0.7733531820668164,0.22680980585797977,0.4781411663461417,0.46276894078411135,0.4533710591260965,0.5028711850763371,0.3047429811849213,0.6314020274675891,0.3288967457791918,0.13976058311455064,0.4166556766564535,0.5576103844718472,0.480360161256934,0.21651216055097466,0.5249753427887204,0.6695282040018586,0.6201902808300902,0.09462776356048656,0.9469158977375175,0.4013602873197452,0.2713921102210978,0.35826558165913075,0.2976736882680722,0.6430115974990609,0.36933048175219224,0.5676149907162628,0.5125634826297302,0.13717016450323374,0.34856459811698187,0.7279601783875534
8,CICIoT2023,calibration,DDoS-PSHACK_Flood,ddos,1,DDoS-PSHACK_Flood,1,0.9255771724078967,0.7463060941792014,0.17927107822869537,0.9255771724078967,0.07442282759210328,0.07442282759210328,0.0613847549349214,0.08729767647998674,0.3020424072303518,0.5464966609238091,0.47834943335631847,0.43511536066483,0.49106428680424075,0.05435325051862649,0.13324744056460786,0.9255771724078967,0.1488822500679212,0.4973234357905202,0.5492902026682578,0.6493912607351853,0.14567264648943182,0.6559826657095305,0.7463060941792014,0.600102944182269,0.2930081010844076,0.2902189745139202,0.40062915984008063,0.5848958515717328,0.10903905976993918,0.3158886608774287,0.6586118203085664,0.41041328512329744,0.4649807503046262,0.396152158768118,0.47401908318657515,0.6520844737007093,0.2817638684650725,0.42163282245034456
9,CICIoT2023,calibration,DDoS-SynonymousIP_Flood,ddos,1,DDoS-SynonymousIP_Flood,1,0.7891187355297196,0.7011379879688264,0.08798074756089314,0.7891187355297196,0.21088126447028044,0.21088126447028044,0.173908211890354,0.20268570715499612,0.32261430392253937,0.5055255873056216,0.2751287030336936,0.15359996371815082,0.4928169472644321,0.24363914609831985,0.23273933660701257,0.07480110266636344,0.2579344891063147,0.1752274744113181,0.4215170867562708,0.7891187355297196,0.3105691135805444,0.1621683156112299,0.6141726382231365,0.392209263635292,0.7011379879688264,0.2000217429348231,0.45997115991206405,0.16642617686200767,0.23410017307595127,0.10413370731575902,0.3547822155346504,0.45043794455363834,0.3161656459114226,0.4604594710769285,0.3365622048301137,0.09270419489457778,0.1973980658211351,0.23312396309917127
